brand,name,slug,category,price,currency,image_url,tags,product_url_sephora,product_url_ulta,product_url_amazon
The Ordinary,Niacinamide 10% + Zinc 1% Serum,the-ordinary-niacinamide-10-zinc-1-serum,Serum,6.9,USD,https://images.example.com/ordinary-niacinamide.jpg,"oil-control,blemish,fragrance-free,vegan",https://www.sephora.com/product/niacinamide-10-zinc-1-P427417,https://www.ulta.com/p/niacinamide-10-zinc-1-pimprod2021429,https://www.amazon.com/dp/B07P9K5X2H
CeraVe,Hydrating Facial Cleanser,cerave-hydrating-facial-cleanser,Cleanser,14.99,USD,https://images.example.com/cerave-hydrating-cleanser.jpg,"gentle,dry-skin,dermatologist-recommended,fragrance-free",https://www.sephora.com/product/cerave-hydrating-facial-cleanser-P100123,https://www.ulta.com/p/hydrating-facial-cleanser-xlsImpprod12731015,https://www.amazon.com/dp/B01MSSDEPK
Paula's Choice,2% BHA Liquid Exfoliant,paulas-choice-2-bha-liquid-exfoliant,Exfoliant,34.0,USD,https://images.example.com/pc-bha.jpg,"blackheads,pores,acne-prone",https://www.sephora.com/product/skin-perfecting-2-bha-liquid-exfoliant-P218900,https://www.ulta.com/p/skin-perfecting-2-bha-liquid-exfoliant-pimprod2011307,https://www.amazon.com/dp/B00949CTQQ
Laneige,Lip Sleeping Mask,laneige-lip-sleeping-mask,Lip Care,24.0,USD,https://images.example.com/laneige-lip-mask.jpg,"overnight,hydrating,berry",https://www.sephora.com/product/lip-sleeping-mask-P439051,https://www.ulta.com/p/lip-sleeping-mask-pimprod2016445,https://www.amazon.com/dp/B07K8YQJ8Q
Sol de Janeiro,Brazilian Bum Bum Cream,sol-de-janeiro-bum-bum-cream,Body,48.0,USD,https://images.example.com/bum-bum.jpg,"firming,body-cream,vanilla-pistachio",https://www.sephora.com/product/brazilian-bum-bum-cream-P404154,https://www.ulta.com/p/brazilian-bum-bum-cream-pimprod2013509,https://www.amazon.com/dp/B00HB6BSEE
Charlotte Tilbury,Hollywood Flawless Filter,charlotte-tilbury-hollywood-flawless-filter,Primer,49.0,USD,https://images.example.com/ct-flawless-filter.jpg,"glow,primer,illuminator",https://www.sephora.com/product/hollywood-flawless-filter-P74000177,https://www.ulta.com/p/hollywood-flawless-filter-pimprod2021801,https://www.amazon.com/dp/B07P9B9RDR
Rare Beauty,Soft Pinch Liquid Blush,rare-beauty-soft-pinch-liquid-blush,Blush,23.0,USD,https://images.example.com/rare-blush.jpg,"longwear,pigmented,selena-gomez",https://www.sephora.com/product/soft-pinch-liquid-blush-P97989794,https://www.ulta.com/p/soft-pinch-liquid-blush-pimprod2034672,https://www.amazon.com/dp/B0B1B6KQ2Q
Fenty Beauty,Gloss Bomb Universal Lip Luminizer,fenty-beauty-gloss-bomb,Lip Gloss,21.0,USD,https://images.example.com/fenty-gloss-bomb.jpg,"universal,shine,non-sticky",https://www.sephora.com/product/gloss-bomb-universal-lip-luminizer-P67988456,https://www.ulta.com/p/gloss-bomb-universal-lip-luminizer-pimprod2022001,https://www.amazon.com/dp/B07HCDV7J4
Tatcha,The Water Cream,tatcha-the-water-cream,Moisturizer,70.0,USD,https://images.example.com/tatcha-water-cream.jpg,"oil-free,hydrating,pores",https://www.sephora.com/product/the-water-cream-P418218,https://www.ulta.com/p/the-water-cream-pimprod2017961,https://www.amazon.com/dp/B071JZ9Z8G
La Roche-Posay,Anthelios Melt-in Milk Sunscreen SPF 60,la-roche-posay-anthelios-melt-in-milk-spf60,Sunscreen,38.99,USD,https://images.example.com/lrp-anthelios.jpg,"broad-spectrum,water-resistant,spf60",https://www.sephora.com/product/anthelios-melt-in-milk-sunscreen-spf-60-P430220,https://www.ulta.com/p/anthelios-melt-in-milk-sunscreen-spf-60-pimprod2010209,https://www.amazon.com/dp/B00X2X2MMS
Cosrx,Advanced Snail 96 Mucin Power Essence,cosrx-advanced-snail-96-essence,Essence,25.0,USD,https://images.example.com/cosrx-snail-essence.jpg,"hydrating,repairing,k-beauty",https://www.sephora.com/product/advanced-snail-96-mucin-power-essence-P100200,https://www.ulta.com/p/advanced-snail-96-mucin-power-essence-pimprod2013797,https://www.amazon.com/dp/B00PBX3L7K
Glow Recipe,Watermelon Glow Niacinamide Dew Drops,glow-recipe-watermelon-dew-drops,Serum,35.0,USD,https://images.example.com/gr-dew-drops.jpg,"glow,brightening,primer",https://www.sephora.com/product/watermelon-glow-niacinamide-dew-drops-P469981,https://www.ulta.com/p/watermelon-glow-niacinamide-dew-drops-pimprod2025290,https://www.amazon.com/dp/B08QGZC7QK
Kosas,Revealer Concealer,kosas-revealer-concealer,Concealer,30.0,USD,https://images.example.com/kosas-concealer.jpg,"brightening,clean-beauty,hydrating",https://www.sephora.com/product/revealer-concealer-P459154,https://www.ulta.com/p/revealer-concealer-pimprod2019171,https://www.amazon.com/dp/B0859GZ3S1
Dior,Addict Lip Glow,dior-addict-lip-glow,Lip Balm,40.0,USD,https://images.example.com/dior-lip-glow.jpg,"sheer,balm,high-end",https://www.sephora.com/product/dior-addict-lip-glow-P200621,https://www.ulta.com/p/addict-lip-glow-pimprod2029221,https://www.amazon.com/dp/B07C9ZVD6Q
e.l.f.,Power Grip Primer,elf-power-grip-primer,Primer,10.0,USD,https://images.example.com/elf-power-grip.jpg,"affordable,sticky,longewear",https://www.sephora.com/product/power-grip-primer-P100211,https://www.ulta.com/p/power-grip-primer-pimprod2030483,https://www.amazon.com/dp/B09LMQWS28
Olaplex,No. 3 Hair Perfector,olaplex-no-3-hair-perfector,Hair,30.0,USD,https://images.example.com/olaplex-no3.jpg,"repair,bond-builder,damaged-hair",https://www.sephora.com/product/no-3-hair-perfector-P393661,https://www.ulta.com/p/no-3-hair-perfector-pimprod2012047,https://www.amazon.com/dp/B00A3UXIKK
Benefit Cosmetics,"Precisely, My Brow Pencil",benefit-precisely-my-brow-pencil,Brows,25.0,USD,https://images.example.com/benefit-brow.jpg,"brows,precision,longwear",https://www.sephora.com/product/precisely-my-brow-pencil-P409777,https://www.ulta.com/p/precisely-my-brow-pencil-pimprod2018253,https://www.amazon.com/dp/B01E6R7Q8U
Maybelline,Lash Sensational Sky High Mascara,maybelline-sky-high-mascara,Mascara,12.99,USD,https://images.example.com/sky-high.jpg,"drugstore,lengthening,flex-tower-brush",https://www.sephora.com/product/sky-high-mascara-P100250,https://www.ulta.com/p/lash-sensational-sky-high-mascara-pimprod2021806,https://www.amazon.com/dp/B08KQ52Q6P
Kiehl's,Ultra Facial Cream,kiehls-ultra-facial-cream,Moisturizer,38.0,USD,https://images.example.com/kiehls-ultra-facial.jpg,"hydrating,classic,all-skin-types",https://www.sephora.com/product/ultra-facial-cream-P421996,https://www.ulta.com/p/ultra-facial-cream-pimprod2012181,https://www.amazon.com/dp/B00NQ1BQ0S
Youth To The People,Superfood Cleanser,yttp-superfood-cleanser,Cleanser,39.0,USD,https://images.example.com/yttp-cleanser.jpg,"gel,greens,vegan",https://www.sephora.com/product/superfood-antioxidant-cleanser-P411387,https://www.ulta.com/p/superfood-cleanser-pimprod2021827,https://www.amazon.com/dp/B07JY7K9N7
NYX,Butter Gloss,nyx-butter-gloss,Lip Gloss,5.49,USD,https://images.example.com/nyx-butter-gloss.jpg,"buttery,affordable,shine",https://www.sephora.com/product/nyx-butter-gloss-P100300,https://www.ulta.com/p/butter-gloss-pimprod2005767,https://www.amazon.com/dp/B00B4Y2GQW
